Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,26.901248931884766,0.8198952674865723,0.05535704642534256,0.9906542301177979
2,0.2836593985557556,0.9748691320419312,0.11806492507457733,0.9906542301177979
3,0.09609395265579224,0.98219895362854,0.011410167440772057,0.9906542301177979
4,0.017551559954881668,0.9937172532081604,0.0616767518222332,0.9906542301177979
5,0.02223215438425541,0.991623044013977,0.05121647194027901,0.9906542301177979
6,0.04400353133678436,0.990575909614563,0.014723912812769413,0.9906542301177979
7,0.005989305209368467,0.9979057312011719,0.011379768140614033,0.9906542301177979
8,0.0011800596257671714,1.0,0.013512848876416683,0.9906542301177979
9,0.0005878647207282484,1.0,0.05583801120519638,0.9906542301177979
10,0.00021429048501886427,1.0,0.029077237471938133,0.9906542301177979
