Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,25.863840103149414,0.754973828792572,1.3516918420791626,0.7383177280426025
2,0.33509498834609985,0.9434555172920227,0.016350535675883293,1.0
3,0.05934041365981102,0.981151819229126,0.015652574598789215,1.0
4,0.038421791046857834,0.9842932224273682,0.020245293155312538,0.9906542301177979
5,0.031279463320970535,0.9884817004203796,0.025130340829491615,0.9906542301177979
6,0.03793191909790039,0.9842932224273682,0.01798563450574875,1.0
7,0.017468838021159172,0.9926701784133911,0.02217019535601139,0.9906542301177979
8,0.01989142969250679,0.9947643876075745,0.02511618286371231,0.9906542301177979
9,0.015381461940705776,0.9968586564064026,0.0285051129758358,0.9813084006309509
10,0.00780966691672802,0.9979057312011719,0.028294118121266365,0.9906542301177979
