Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,31.07347297668457,0.8198952674865723,0.024697231128811836,1.0
2,0.09661132842302322,0.971727728843689,0.029746532440185547,0.9906542301177979
3,0.03150634467601776,0.9874345660209656,0.03507836163043976,0.9813084006309509
4,0.022649088874459267,0.9926701784133911,0.06233733147382736,0.9906542301177979
5,0.01402636244893074,0.9937172532081604,0.03763553500175476,0.9719626307487488
6,0.005852114874869585,0.9989528656005859,0.01826501078903675,0.9906542301177979
7,0.0019090801943093538,1.0,0.00788377970457077,0.9906542301177979
8,0.0008828627760522068,1.0,0.0029277990106493235,1.0
9,0.000820451881736517,1.0,0.02411177195608616,0.9906542301177979
10,0.00035715525154955685,1.0,0.023883197456598282,0.9906542301177979
