Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,25.22795295715332,0.764397919178009,0.09348749369382858,0.9532710313796997
2,0.17329399287700653,0.9581151604652405,0.0015514951664954424,1.0
3,0.05613717809319496,0.9801046848297119,0.0044630407355725765,1.0
4,0.10040491074323654,0.972774863243103,0.09252788871526718,0.9626168012619019
5,0.09791378676891327,0.9675392508506775,0.01715717278420925,1.0
6,0.05175706371665001,0.9780104756355286,0.006909629795700312,1.0
7,0.028625981882214546,0.990575909614563,0.0015230851713567972,1.0
8,0.027337148785591125,0.9884817004203796,0.0029650311917066574,1.0
9,0.01306387409567833,0.9947643876075745,0.0006822657305747271,1.0
10,0.028812294825911522,0.9884817004203796,0.0025679266545921564,1.0
