Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,30.833887100219727,0.7958115339279175,0.31953164935112,0.8971962332725525
2,0.1283525824546814,0.9654450416564941,0.0206832867115736,0.9906542301177979
3,0.03146626055240631,0.9863874316215515,0.02891581319272518,0.9906542301177979
4,0.026580043137073517,0.990575909614563,0.025579113513231277,0.9906542301177979
5,0.028841855004429817,0.9874345660209656,0.056105371564626694,0.9626168012619019
6,0.026887867599725723,0.9895287752151489,0.01680787093937397,0.9906542301177979
7,0.03985556960105896,0.9863874316215515,0.039534203708171844,0.9813084006309509
8,0.023234402760863304,0.9895287752151489,0.02356908656656742,0.9813084006309509
9,0.02117319032549858,0.9895287752151489,0.005628167651593685,1.0
10,0.022083653137087822,0.991623044013977,0.022332770749926567,0.9906542301177979
