Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,27.08949089050293,0.8607329726219177,0.5360066294670105,0.9626168012619019
2,0.0636352002620697,0.9863874316215515,0.11444681137800217,0.9813084006309509
3,0.051288437098264694,0.9895287752151489,0.0053344592452049255,1.0
4,0.09191467612981796,0.9801046848297119,0.19449418783187866,0.9813084006309509
5,0.023458318784832954,0.9926701784133911,0.22123074531555176,0.9813084006309509
6,0.018573453649878502,0.990575909614563,0.22126048803329468,0.9813084006309509
7,0.006227276753634214,0.9968586564064026,0.2496475726366043,0.9813084006309509
8,0.0014939024113118649,1.0,0.18905703723430634,0.9813084006309509
9,0.0008138297707773745,1.0,0.25138866901397705,0.9813084006309509
10,0.00048047309974208474,1.0,0.20425526797771454,0.9813084006309509
