Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,31.040475845336914,0.7696335315704346,0.07850679755210876,0.9813084006309509
2,0.06972413510084152,0.98219895362854,0.026088587939739227,0.9813084006309509
3,0.07116479426622391,0.971727728843689,0.023590337485074997,0.9813084006309509
4,0.028621584177017212,0.990575909614563,0.00426825787872076,1.0
5,0.024401450529694557,0.991623044013977,0.005099934991449118,1.0
6,0.01562456227838993,0.9937172532081604,0.0721573606133461,0.9813084006309509
7,0.03949732333421707,0.9874345660209656,0.06788595020771027,0.9813084006309509
8,0.02071542665362358,0.9947643876075745,0.01973079703748226,0.9906542301177979
9,0.008488292805850506,0.9979057312011719,0.0057612997479736805,1.0
10,0.002351784845814109,1.0,0.0034332922659814358,1.0
