Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,21.126169204711914,0.7895287871360779,0.09379246830940247,0.9626168012619019
2,0.053954094648361206,0.981151819229126,0.02692442014813423,0.9906542301177979
3,0.02937743067741394,0.9874345660209656,0.013028636574745178,0.9906542301177979
4,0.031307898461818695,0.9884817004203796,0.07986623793840408,0.9719626307487488
5,0.028624393045902252,0.990575909614563,0.009275034070014954,1.0
6,0.02401045337319374,0.9895287752151489,0.03416230529546738,0.9813084006309509
7,0.033768292516469955,0.9863874316215515,0.033068932592868805,0.9906542301177979
8,0.02036609686911106,0.9937172532081604,0.01911822520196438,0.9906542301177979
9,0.025458382442593575,0.9895287752151489,0.011627406813204288,1.0
10,0.007446877658367157,0.9989528656005859,0.010778423398733139,1.0
